N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,300",500,+0.67%,100,"4,495,246","5,969,783",52.21,"9,752,806",14.60,9.99,
2,LG에너지솔루션,"452,500","3,000",-0.66%,500,"1,058,850","234,000",3.86,"542,074",306.78,N/A,
3,SK하이닉스,"132,500","2,000",+1.53%,"5,000","964,603","728,002",50.64,"4,441,170",11.98,9.53,
4,삼성전자우,"67,600",100,+0.15%,100,"556,271","822,887",74.76,"552,516",13.10,N/A,
5,NAVER,"324,500",0,0.00%,100,"532,339","164,049",55.13,"336,764",3.21,15.22,
6,삼성바이오로직스,"759,000","2,000",+0.26%,"2,500","502,192","66,165",10.50,"35,697",122.34,N/A,
7,LG화학,"648,000","5,000",-0.77%,"5,000","457,438","70,592",49.55,"192,137",16.89,2.93,
8,카카오,"90,800","1,100",-1.20%,100,"404,934","445,962",28.22,"2,261,764",35.75,2.70,
9,현대차,"184,500","2,500",+1.37%,"5,000","394,218","213,668",27.34,"586,189",9.35,2.04,
10,삼성SDI,"559,000","19,000",+3.52%,"5,000","384,394","68,765",44.13,"322,022",35.06,4.54,
11,기아,"79,200",300,-0.38%,"5,000","321,048","405,363",35.32,"1,072,194",7.18,5.05,
12,KB금융,"65,200",600,+0.93%,"5,000","271,107","415,808",72.02,"849,405",6.23,8.53,
13,POSCO,"281,500","1,000",+0.36%,"5,000","245,431","87,187",52.90,"185,815",4.22,3.61,
14,카카오뱅크,"49,500","3,050",+6.57%,"5,000","235,204","475,159",15.87,"5,253,451",160.19,5.08,
15,셀트리온,"159,000","1,000",+0.63%,"1,000","219,349","137,956",20.61,"371,933",40.46,16.68,
16,현대모비스,"230,000",500,-0.22%,"5,000","217,518","94,573",34.29,"135,527",9.26,4.66,
17,신한지주,"41,300",200,+0.49%,"5,000","213,356","516,600",61.97,"1,076,515",5.48,8.20,
18,삼성물산,"111,500","2,000",+1.83%,100,"208,379","186,887",15.80,"358,897",12.69,3.81,
19,LG전자,"124,500","1,500",+1.22%,"5,000","203,742","163,648",28.49,"775,150",17.96,13.23,
20,SK이노베이션,"213,000","9,500",+4.67%,"5,000","196,952","92,466",23.49,"558,691","-6,264.71",-13.58,
21,카카오페이,"135,000","2,500",+1.89%,500,"178,131","131,949",42.66,"382,365",-671.64,-17.97,
22,SK,"226,000","3,000",+1.35%,200,"167,577","74,149",21.90,"92,512",26.41,1.11,
23,LG생활건강,"1,024,000","49,000",+5.03%,"5,000","159,930","15,618",42.44,"101,746",21.31,17.92,
24,하나금융지주,"52,400","1,800",+3.56%,"5,000","157,327","300,242",70.87,"1,407,479",4.89,8.96,
25,한국전력,"22,150",250,-1.12%,"5,000","142,195","641,964",14.56,"1,012,018",-13.05,2.91,
26,크래프톤,"276,000","1,500",-0.54%,100,"135,163","48,972",29.48,"236,956",21.63,61.86,
27,HMM,"27,450","2,200",+8.71%,"5,000","134,241","489,039",10.28,"19,795,135",3.46,8.93,
28,삼성생명,"63,700",100,-0.16%,500,"127,400","200,000",12.78,"138,283",8.14,3.53,
29,삼성전기,"167,500",500,+0.30%,"5,000","125,112","74,694",29.65,"434,688",12.88,10.92,
30,SK텔레콤,"55,600",300,+0.54%,100,"121,671","218,833",45.02,"363,508",8.63,6.44,
31,LG,"77,100",800,+1.05%,"5,000","121,279","157,301",36.26,"190,853",5.09,7.50,
32,SK바이오사이언스,"149,500",500,-0.33%,500,"114,368","76,500",4.97,"468,940",57.57,13.25,
33,KT&G,"80,000",100,+0.13%,"5,000","109,834","137,292",36.29,"184,490",9.22,13.22,
34,엔씨소프트,"500,000","7,500",+1.52%,500,"109,770","21,954",43.85,"221,987",30.87,20.83,
35,아모레퍼시픽,"187,000","6,000",+3.31%,500,"109,381","58,493",30.09,"412,498",72.12,0.78,
36,우리금융지주,"15,000",350,+2.39%,"5,000","109,209","728,061",33.89,"3,005,666",4.59,5.87,
37,하이브,"263,500","7,000",+2.73%,500,"108,966","41,353",16.17,"401,465",93.74,12.52,
38,삼성에스디에스,"138,500","1,500",+1.09%,500,"107,168","77,378",11.39,"108,054",15.77,6.71,
39,대한항공,"30,100",100,+0.33%,"5,000","104,694","347,821",12.57,"3,123,778",14.14,-7.22,
40,삼성화재,"215,000","1,500",+0.70%,500,"101,856","47,375",48.67,"61,748",9.29,4.96,
41,고려아연,"529,000",0,0.00%,"5,000","99,822","18,870",18.35,"24,268",13.23,8.37,
42,S-Oil,"85,300",400,+0.47%,"2,500","96,033","112,583",77.87,"376,665",8.21,-13.07,
43,포스코케미칼,"115,500","1,000",+0.87%,500,"89,470","77,463",6.47,"274,698",64.49,2.96,
44,두산중공업,"16,950",600,+3.67%,"5,000","88,517","522,224",7.82,"5,453,632",50.30,-37.20,
45,현대중공업,"99,100","1,100",+1.12%,"5,000","87,974","88,773",2.19,"113,345",-10.82,-7.86,
46,넷마블,"100,500","1,500",-1.47%,100,"86,383","85,954",22.98,"173,841",37.17,6.35,
47,KT,"32,400",50,+0.15%,"5,000","84,600","261,112",39.46,"765,946",8.28,4.76,
48,SK아이이테크놀로지,"118,000",500,+0.43%,"1,000","84,131","71,298",10.59,"246,399",77.58,11.00,
49,기업은행,"11,200",150,+1.36%,"5,000","83,362","744,301",13.88,"1,847,425",4.15,6.44,
50,LG이노텍,"327,500","10,500",+3.31%,"5,000","77,510","23,667",22.98,"505,463",10.38,10.20,
